nomDuMusee;adr;cp;ville;telephone1;region;departement;coordonneesFinales
Musée d'Argonne;9, Rue Louis XVI;55270;VARENNES-EN-ARGONNE;0329807114;GRAND EST;MEUSE;49.226057,5.033072
Musée du Savignéen;10, Rue Fbg de la Rue;37340;SAVIGNE-SUR-LATHAN;0247249514;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;47.445748,0.319748
Musée du Gatinais;7, Rue du Château;45200;MONTARGIS;0238934563;CENTRE-VAL DE LOIRE;LOIRET;47.998314,2.729233
Musée Départemental de Préhistoire d'Île de France;48, Avenue Etienne Dailly;77140;NEMOURS;0164785480;ÎLE-DE-France;SEINE ET MARNE;48.260788,2.714709
Musée Bourdelle;16, Rue Antoine Bourdelle;75015;PARIS;0149547373;ÎLE-DE-France;PARIS;48.843017,2.31883
Musée Artisanal et Industriel d'Instruments à Vent;2, Rue d'Ivry Place de l'église;27750;LA COUTURE-BOUSSEY;0232362880;NORMANDIE;EURE;48.9018917237,1.39711841747
Musée d'Histoire Naturelle;28, avenue de Limoges;79000;NIORT;;NOUVELLE-AQUITAINE;DEUX-SEVRES;46.321065,-0.454107
Musée Flaubert et d'Histoire de la Médecine;Ancien Hôtel-Dieu 51, rue de Lecat;76000;ROUEN;0235155995;NORMANDIE;SEINE-MARITIME;49.4414760352,1.09318612833
Musée Départemental des Merveilles;Avenue du 16 Septembre 1947;06430;TENDE;0493043250;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;44.08886,7.593211
Musée des Sciences;Château Saint Etienne;15000;AURILLAC;0471480700;AUVERGNE-RHÔNE-ALPES;CANTAL;44.93338,2.444988
Musée Magnin;4, rue des Bons Enfants;21000;DIJON;0380671110;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.320958,5.042189
Ecomusée du Véron;80, Route de Candes;37420;SAVIGNY-EN-VERON;0247580905;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;47.209697,0.124427
Musée du Prieuré;Mairie d'Harfleur 50, Rue de la République  B.P. 97;76700;HARFLEUR;0235454062;NORMANDIE;SEINE-MARITIME;49.4973035255,0.236903290282
Musée Thomas Henry;Le Quasar Esplanade de la Laïcité;50100;CHERBOURG-EN-COTENTIN;0233233930;NORMANDIE;MANCHE;49.6331832109,-1.6338586934
Musée du Château de Compiègne;Palais de Compiègne Place du Général de Gaulle;60200;COMPIEGNE;0344384700;HAUTS-DE-France;OISE;49.3992378489,2.8537782842
Muséum d'Histoire Naturelle;28, Rue Albert 1er;17000;LA ROCHELLE;0546411825;NOUVELLE-AQUITAINE;CHARENTE-MARITIME;46.164822,-1.151488
Musée Archéologique;Place de l'Hôtel de ville;11100;NARBONNE;0468903054;OCCITANIE;AUDE;43.183528,3.004364
